,source,dest,month,year,season
0,6b75fb8f8fe2,6bcaea988250,5,2022,AT
172,373a4a16eaf9,1010859799ff,1,2022,SM
173,1010859799ff,58839af42ed3,1,2022,SM
174,58839af42ed3,1010859799ff,1,2022,SM
175,1010859799ff,58839af42ed3,1,2022,SM
176,58839af42ed3,373a4a16eaf9,1,2022,SM
177,373a4a16eaf9,58839af42ed3,1,2022,SM
178,58839af42ed3,83e7eb77f0f1,1,2022,SM
179,83e7eb77f0f1,58839af42ed3,1,2022,SM
180,58839af42ed3,ae89ce58d543,1,2022,SM
181,ae89ce58d543,58839af42ed3,1,2022,SM
182,58839af42ed3,ae89ce58d543,2,2022,SM
183,ae89ce58d543,373a4a16eaf9,2,2022,SM
184,373a4a16eaf9,ae89ce58d543,2,2022,SM
185,ae89ce58d543,373a4a16eaf9,2,2022,SM
186,373a4a16eaf9,1010859799ff,2,2022,SM
187,1010859799ff,58839af42ed3,2,2022,SM
188,58839af42ed3,373a4a16eaf9,2,2022,SM
189,373a4a16eaf9,58839af42ed3,2,2022,SM
190,58839af42ed3,373a4a16eaf9,2,2022,SM
191,373a4a16eaf9,ae89ce58d543,2,2022,SM
192,ae89ce58d543,373a4a16eaf9,2,2022,SM
193,373a4a16eaf9,58839af42ed3,2,2022,SM
194,58839af42ed3,373a4a16eaf9,2,2022,SM
195,373a4a16eaf9,58839af42ed3,3,2022,AT
196,58839af42ed3,373a4a16eaf9,3,2022,AT
197,373a4a16eaf9,58839af42ed3,3,2022,AT
198,58839af42ed3,ae89ce58d543,3,2022,AT
199,ae89ce58d543,58839af42ed3,3,2022,AT
200,58839af42ed3,373a4a16eaf9,4,2022,AT
201,373a4a16eaf9,ae89ce58d543,5,2022,AT
202,ae89ce58d543,7c594c644910,5,2022,AT
203,7c594c644910,ae89ce58d543,5,2022,AT
204,ae89ce58d543,373a4a16eaf9,5,2022,AT
205,373a4a16eaf9,ae89ce58d543,5,2022,AT
206,ae89ce58d543,373a4a16eaf9,5,2022,AT
207,373a4a16eaf9,ae89ce58d543,5,2022,AT
208,ae89ce58d543,58839af42ed3,5,2022,AT
209,58839af42ed3,373a4a16eaf9,5,2022,AT
210,373a4a16eaf9,58839af42ed3,5,2022,AT
211,58839af42ed3,ae89ce58d543,5,2022,AT
212,ae89ce58d543,58839af42ed3,5,2022,AT
213,58839af42ed3,a4231df40681,6,2022,WT
214,a4231df40681,ae89ce58d543,6,2022,WT
215,ae89ce58d543,58839af42ed3,6,2022,WT
216,58839af42ed3,ae89ce58d543,6,2022,WT
217,ae89ce58d543,373a4a16eaf9,6,2022,WT
218,373a4a16eaf9,ae89ce58d543,6,2022,WT
219,ae89ce58d543,58839af42ed3,6,2022,WT
220,58839af42ed3,cccfc2377e10,6,2022,WT
221,cccfc2377e10,58839af42ed3,6,2022,WT
222,58839af42ed3,373a4a16eaf9,6,2022,WT
223,373a4a16eaf9,ae89ce58d543,6,2022,WT
224,ae89ce58d543,58839af42ed3,6,2022,WT
225,58839af42ed3,ae89ce58d543,6,2022,WT
226,ae89ce58d543,373a4a16eaf9,6,2022,WT
227,373a4a16eaf9,ae89ce58d543,6,2022,WT
228,ae89ce58d543,58839af42ed3,6,2022,WT
229,58839af42ed3,ae89ce58d543,6,2022,WT
230,ae89ce58d543,1010859799ff,6,2022,WT
231,1010859799ff,373a4a16eaf9,6,2022,WT
232,373a4a16eaf9,ae89ce58d543,6,2022,WT
233,ae89ce58d543,58839af42ed3,6,2022,WT
234,58839af42ed3,373a4a16eaf9,6,2022,WT
235,373a4a16eaf9,ae89ce58d543,6,2022,WT
236,ae89ce58d543,373a4a16eaf9,6,2022,WT
237,373a4a16eaf9,58839af42ed3,6,2022,WT
238,58839af42ed3,1010859799ff,6,2022,WT
239,1010859799ff,58839af42ed3,6,2022,WT
240,58839af42ed3,ae89ce58d543,6,2022,WT
241,ae89ce58d543,58839af42ed3,6,2022,WT
242,58839af42ed3,ae89ce58d543,6,2022,WT
243,ae89ce58d543,373a4a16eaf9,6,2022,WT
